,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(06,02)","(04,08)","(01,05)","(07,03)",0
1,"(04,07)","(01,06)","(02,08)","(05,03)","1,797"
2,"(02,07)","(03,08)","(05,06)","(01,04)","3,197"
3,"(05,04)","(03,07)","(06,01)","(08,02)","5,282"
4,"(07,02)","(08,01)","(06,05)","(03,04)","6,772"
5,"(02,03)","(04,06)","(08,05)","(07,01)","7,934"
6,"(01,08)","(02,06)","(07,05)","(04,03)","8,936"
7,"(01,07)","(05,08)","(02,04)","(03,06)","10,476"
8,"(06,08)","(04,01)","(03,02)","(05,07)","11,396"
9,"(04,05)","(08,07)","(02,01)","(06,03)","12,771"
10,"(07,06)","(08,04)","(03,01)","(02,05)","14,850"
11,"(08,06)","(03,05)","(07,04)","(01,02)","16,461"
12,"(05,02)","(07,08)","(06,04)","(01,03)","18,690"
13,"(06,07)","(05,01)","(04,02)","(08,03)","21,352"
