,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D,,,,Game 1,Game 2,Game 3,Game 4,,Umpire #1,Umpire #2,Umpire #3,Umpire #4
0,"(07,03)","(06,02)","(04,08)","(01,05)",0,,,,"(1,5)","(4,8)","(6,2)","(7,3)",,4,3,2,1
1,"(05,03)","(02,08)","(01,06)","(04,07)","1,170",,,,"(1,6)","(2,8)","(4,7)","(5,3)",,4,2,1,3
2,"(03,08)","(02,07)","(01,04)","(05,06)","2,570",,,,"(1,4)","(2,7)","(3,8)","(5,6)",,3,2,1,4
3,"(03,07)","(05,04)","(06,01)","(08,02)","4,827",,,,"(3,7)","(5,4)","(6,1)","(8,2)",,1,2,3,4
4,"(06,05)","(07,02)","(03,04)","(08,01)","6,180",,,,"(2,3)","(4,6)","(7,1)","(8,5)",,,,,
5,"(04,06)","(07,01)","(02,03)","(08,05)","8,402",,,,"(1,8)","(2,6)","(4,3)","(7,5)",,,,,
6,"(04,03)","(01,08)","(07,05)","(02,06)","8,903",,,,,,,,,,,,
7,"(05,08)","(01,07)","(03,06)","(02,04)","10,713",,,,,,,,,,,,
8,"(03,02)","(05,07)","(04,01)","(06,08)","12,393",,,,,,,,,,,,
9,"(06,03)","(08,07)","(04,05)","(02,01)","13,237",,,,,,,,,,,,
10,"(02,05)","(07,06)","(03,01)","(08,04)","14,606",,,,,,,,,,,,
11,"(03,05)","(07,04)","(01,02)","(08,06)","16,367",,,,,,,,,,,,
12,"(05,02)","(01,03)","(06,04)","(07,08)","19,265",,,,,,,,,,,,
13,"(08,03)","(04,02)","(06,07)","(05,01)","21,199",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,Venue 1,Venue 2,Venue 3,Venue 4,,,,,
,,,,,7,5,3,umpire 1,1,2,3,5,ok,,,,
,,,,,6,2,,umpire 2,1,2,3,5,ok,,,,
,,,,,4,1,,umpire 3,1,2,3,5,NOT OKAY,,,,
,,,,,1,4,5,umpire 4,1,2,3,5,NOT OKAY,,,,
