,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Games #1,Games #2,Games #3,Games #4,"C[1,1]","C[1,2]","C[1,3]","C[1,4]","C[2,1]","C[2,2]","C[2,3]","C[2,4]","C[3,1]","C[3,2]","C[3,3]","C[3,4]","C[4,1]","C[4,2]","C[4,3]","C[4,4]","C[1,1]","C[1,2]","C[1,3]","C[1,4]","C[2,1]","C[2,2]","C[2,3]","C[2,4]","C[3,1]","C[3,2]","C[3,3]","C[3,4]","C[4,1]","C[4,2]","C[4,3]","C[4,4]"
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"(05,03)","(01,06)","(02,08)","(04,07)",4,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,"(03,08)","(05,06)","(01,04)","(02,07)",3,4,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,"(08,02)","(06,01)","(03,07)","(05,04)",4,3,1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
4,"(08,01)","(03,04)","(07,02)","(06,05)",4,1,3,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
5,"(04,06)","(07,01)","(02,03)","(08,05)",2,3,1,4,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
6,"(04,03)","(07,05)","(02,06)","(01,08)",3,4,2,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
7,"(02,04)","(01,07)","(03,06)","(05,08)",2,1,3,4,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
8,"(05,07)","(03,02)","(06,08)","(04,01)",3,1,4,2,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
9,"(06,03)","(08,07)","(02,01)","(04,05)",3,4,1,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1
10,"(03,01)","(02,05)","(07,06)","(08,04)",2,1,3,4,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
11,"(01,02)","(07,04)","(08,06)","(03,05)",1,3,4,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
12,"(07,08)","(05,02)","(06,04)","(01,03)",4,2,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
13,"(05,01)","(04,02)","(08,03)","(06,07)",2,1,4,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
