,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Games #1,Games #2,Games #3,Games #4,"C[1,1]","C[1,2]","C[1,3]","C[1,4]","C[2,1]","C[2,2]","C[2,3]","C[2,4]","C[3,1]","C[3,2]","C[3,3]","C[3,4]","C[4,1]","C[4,2]","C[4,3]","C[4,4]",D
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"(05,03)","(02,08)","(01,06)","(04,07)",4,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2,878"
2,"(02,07)","(03,08)","(01,04)","(05,06)",2,3,1,4,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"5,768"
3,"(05,04)","(06,01)","(03,07)","(08,02)",2,3,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"7,334"
4,"(08,01)","(07,02)","(03,04)","(06,05)",4,3,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,"9,466"
5,"(02,03)","(04,06)","(08,05)","(07,01)",1,2,4,3,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,"11,337"
6,"(04,03)","(07,05)","(01,08)","(02,06)",3,4,1,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,"13,842"
7,"(03,06)","(01,07)","(02,04)","(05,08)",3,1,2,4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,"15,392"
8,"(03,02)","(06,08)","(05,07)","(04,01)",1,4,3,2,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,"17,003"
9,"(06,03)","(02,01)","(04,05)","(08,07)",3,1,2,4,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,"19,132"
10,"(08,04)","(02,05)","(03,01)","(07,06)",4,1,2,3,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,"20,551"
11,"(01,02)","(08,06)","(03,05)","(07,04)",1,4,2,3,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,"22,562"
12,"(05,02)","(01,03)","(07,08)","(06,04)",2,1,4,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"24,920"
13,"(06,07)","(08,03)","(04,02)","(05,01)",3,4,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"26,842"
