,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Umpire @ #1,Umpire @ #2,Umpire @ #3,Umpire @ #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,4,6,7,0
1,"(04,07)","(01,06)","(02,08)","(05,03)",4,1,2,5,"3,127"
2,"(02,07)","(05,06)","(03,08)","(01,04)",2,5,3,1,"4,564"
3,"(08,02)","(06,01)","(05,04)","(03,07)",8,6,5,3,"7,369"
4,"(03,04)","(07,02)","(08,01)","(06,05)",3,7,8,6,"9,098"
5,"(07,01)","(02,03)","(04,06)","(08,05)",7,2,4,8,"11,577"
6,"(04,03)","(01,08)","(07,05)","(02,06)",4,1,7,2,"12,772"
7,"(02,04)","(05,08)","(03,06)","(01,07)",2,5,3,1,"14,172"
8,"(05,07)","(04,01)","(06,08)","(03,02)",5,4,6,3,"15,092"
9,"(06,03)","(08,07)","(02,01)","(04,05)",6,8,2,4,"17,327"
10,"(03,01)","(02,05)","(08,04)","(07,06)",3,2,8,7,"18,818"
11,"(07,04)","(03,05)","(01,02)","(08,06)",7,3,1,8,"21,643"
12,"(01,03)","(06,04)","(07,08)","(05,02)",1,6,7,5,"23,888"
13,"(08,03)","(04,02)","(05,01)","(06,07)",8,4,5,6,"25,733"
