,Umpire#1,Umpire#2,Umpire#3,Umpire#4,Umpire#1  @,Umpire#2  @,Umpire#3  @,Umpire#4  @,D
0,"(06,02)","(04,08)","(01,05)","(07,03)",6,4,1,7,0
1,"(04,07)","(02,08)","(05,03)","(01,06)",4,2,5,1,"1,020"
2,"(03,08)","(01,04)","(02,07)","(05,06)",3,1,2,5,"2,714"
3,"(08,02)","(05,04)","(06,01)","(03,07)",8,5,6,3,"4,678"
4,"(07,02)","(03,04)","(08,01)","(06,05)",7,3,8,6,"6,168"
5,"(02,03)","(07,01)","(04,06)","(08,05)",2,7,4,8,"7,330"
6,"(01,08)","(04,03)","(07,05)","(02,06)",1,4,7,2,"7,831"
7,"(05,08)","(02,04)","(03,06)","(01,07)",5,2,3,1,"9,641"
8,"(03,02)","(05,07)","(06,08)","(04,01)",3,5,6,4,"11,321"
9,"(04,05)","(08,07)","(02,01)","(06,03)",4,8,2,6,"12,905"
10,"(02,05)","(07,06)","(08,04)","(03,01)",2,7,8,3,"14,717"
11,"(08,06)","(03,05)","(01,02)","(07,04)",8,3,1,7,"16,478"
12,"(07,08)","(06,04)","(05,02)","(01,03)",7,6,5,1,"18,685"
13,"(06,07)","(05,01)","(04,02)","(08,03)",6,5,4,8,"21,037"
