,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,07)","(05,06)","(05,04)",0
1,"(01,05)","(05,03)","(03,08)","(05,04)","1,020"
2,"(01,05)","(05,03)","(03,08)","(05,04)","2,400"
3,"(06,02)","(01,06)","(05,06)","(05,04)","3,966"
4,"(01,05)","(05,03)","(02,07)","(06,01)","5,297"
5,"(06,02)","(02,08)","(01,04)","(08,02)","6,331"
6,"(06,02)","(02,08)","(05,06)","(03,07)","6,832"
7,"(07,03)","(02,08)","(01,04)","(06,01)","8,212"
8,"(07,03)","(01,06)","(03,08)","(05,04)","9,132"
9,"(07,03)","(01,06)","(03,08)","(05,04)","9,976"
10,"(07,03)","(04,07)","(02,07)","(03,07)","10,992"
11,"(07,03)","(02,08)","(03,08)","(03,07)","12,205"
12,"(07,03)","(04,07)","(02,07)","(03,07)","14,162"
13,"(01,05)","(05,03)","(02,07)","(06,01)","15,736"
